"code","campaign","no2","lat","lon"
"1387656","facade",23.0,50.82594,4.704003
"192852","facade",47.3,51.21328,4.4447019999999995
"192873","facade",21.2,51.30897,4.188672
"192876","facade",26.6,51.0962,3.991424
"192879","facade",25.6,51.199220000000004,4.461859
"192894","facade",18.3,50.99603,4.552055999999999
"192909","facade",30.7,50.95687,4.746016
"192915","facade",20.3,50.86095,4.765735
"192918","facade",32.3,50.810390000000005,3.231474
"192924","facade",20.4,51.05936,3.1164959999999997
"192933","facade",31.5,51.008390000000006,4.477718
"192951","facade",16.2,51.09316,4.903073
"192954","facade",19.5,51.40756,4.64345
"192957","facade",20.4,50.76417,4.4923910000000005
"192960","facade",31.8,50.877309999999994,4.715674
"192966","facade",17.3,51.19047,3.9893120000000004
"192981","facade",14.7,50.809540000000005,4.625151
"192987","facade",21.1,50.889520000000005,4.7219690000000005
"192996","facade",18.9,51.26467,5.080749
"193011","facade",19.3,51.260940000000005,4.1501019999999995
"193023","facade",32.4,51.20558,4.406403
"193050","facade",20.9,50.97233,2.6958509999999998
"193077","facade",19.1,51.030879999999996,3.6657699999999998
"193092","facade",22.0,50.92477,4.6969959999999995
"193101","facade",26.7,50.87322,4.478648000000001
"193116","facade",24.2,50.87238,4.715466
"193134","facade",18.0,50.748020000000004,3.3726230000000004
"193233","facade",20.8,51.214620000000004,4.590746
"193242","facade",35.0,51.2098,4.411835
"193257","facade",23.9,51.07369,2.666681
"193308","facade",30.1,51.3185,4.422408
"193353","facade",21.0,50.87451,4.729858999999999
"193365","facade",43.6,51.18662,4.388167
"193392","facade",17.3,50.851040000000005,3.026613
"193440","facade",16.8,50.95544,4.6112589999999996
"193479","facade",28.6,51.05893,3.7009559999999997
"193524","facade",17.3,50.78884,3.5710269999999995
"193533","facade",22.9,51.0190729217068,4.10549854864958
"193539","facade",19.0,50.92971,3.114984
"193560","facade",29.5,51.1808,4.346274
"193605","facade",16.4,50.86827,4.627685
"193611","facade",23.1,50.875,4.6893139999999995
"193617","facade",20.0,50.96345,5.506891
"193623","facade",30.8,51.20838,4.326741
"193644","facade",30.6,51.22064,4.400616
"193647","facade",19.2,50.899359999999994,4.667387000000001
"193677","facade",43.1,51.027159999999995,3.7474519999999996
"193686","facade",20.9,51.01665,3.867354
"193695","facade",28.7,51.19489,4.455155
"193701","facade",25.1,50.858309999999996,4.484284
"193755","facade",19.2,50.766420000000004,4.905931
"193764","facade",15.8,50.81544,4.149630999999999
"193779","facade",19.1,50.84487,3.4096089999999997
"193797","facade",31.6,51.01916,3.7633330000000003
