iso_a3,name,population,latitude,longitude
VAT,Vatican City,832,41.9000122264,12.4478083889
SMR,San Marino,29579,43.9171500845,12.4666702867
LIE,Vaduz,36281,47.1337237743,9.51666947291
SWZ,Lobamba,9782,-26.4666674614,31.1999971097
LUX,Luxembourg,107260,49.6116603791,6.13000280623
FSM,Palikir,4645,6.91664369601,158.149974324
MHL,Majuro,25400,7.10300431122,171.380000176
TUV,Funafuti,4749,-8.51665199904,179.216647094
PLW,Melekeok,7026,7.48739617298,134.626548467
SAH,Bir Lehlou,500,26.119166686,-9.65252221825
MCO,Monaco,36371,43.7396456879,7.40691317347
KIR,Tarawa,28802,1.33818750562,173.017570829
COM,Moroni,128698,-11.7041576957,43.2402440987
AND,Andorra,53998,42.5000014435,1.51648596051
TTO,Port-of-Spain,294934,10.6519970896,-61.5170308854
RWA,Kigali,860000,-1.95359006868,30.0605317777
SWZ,Mbabane,90138,-26.3166507784,31.1333345121
SSD,Juba,111975,4.82997519828,31.5800255928
NLD,The Hague,1406000,52.080036844,4.26996130231
SVN,Ljubljana,314807,46.0552883088,14.5149690335
SVK,Bratislava,423737,48.15001833,17.1169807522
QAT,Doha,1450000,25.2865560089,51.5329678943
MNE,Podgorica,145850,42.4659725129,19.2663069241
LKA,Sri Jawewardenepura Kotte,115826,6.90000388481,79.9499930409
PHL,Baguio City,447824,16.4299906606,120.569942585
TZA,Dodoma,218269,-6.18330605177,35.7500036201
CHE,Bern,275329,46.9166827587,7.46697546248
MAR,Laayoune,188084,27.1499823191,-13.2000059422
KOS,Pristina,465186,42.6667096141,21.1659842516
DMA,Roseau,23336,15.3010156443,-61.3870129818
DJI,Djibouti,923000,11.5950144643,43.1480016671
MYS,Putrajaya,67964,2.91401979462,101.70194698
JPN,Kyoto,1805000,35.0299922882,135.749997924
GMB,Banjul,43094,13.4538764603,-16.5917014892
MKD,Skopje,494087,42.0000061229,21.4334614651
BRB,Bridgetown,191152,13.1020025828,-59.6165267351
BEN,Porto-Novo,300000,6.48331097302,2.61662552757
BDI,Bujumbura,331700,-3.37608722037,29.3600060615
VCT,Kingstown,49485,13.1482788279,-61.2120624203
