iso_a3,name,pop_est,gdp_md_est,continent
FJI,Fiji,920938,8374.0,Oceania
TZA,Tanzania,53950935,150600.0,Africa
ESH,W. Sahara,603253,906.5,Africa
CAN,Canada,35623680,1674000.0,North America
USA,United States of America,326625791,18560000.0,North America
KAZ,Kazakhstan,18556698,460700.0,Asia
UZB,Uzbekistan,29748859,202300.0,Asia
PNG,Papua New Guinea,6909701,28020.0,Oceania
IDN,Indonesia,260580739,3028000.0,Asia
ARG,Argentina,44293293,879400.0,South America
CHL,Chile,17789267,436100.0,South America
COD,Dem. Rep. Congo,83301151,66010.0,Africa
SOM,Somalia,7531386,4719.0,Africa
KEN,Kenya,47615739,152700.0,Africa
SDN,Sudan,37345935,176300.0,Africa
TCD,Chad,12075985,30590.0,Africa
HTI,Haiti,10646714,19340.0,North America
DOM,Dominican Rep.,10734247,161900.0,North America
RUS,Russia,142257519,3745000.0,Europe
BHS,Bahamas,329988,9066.0,North America
FLK,Falkland Is.,2931,281.8,South America
-99,Norway,5320045,364700.0,Europe
GRL,Greenland,57713,2173.0,North America
ATF,Fr. S. Antarctic Lands,140,16.0,Seven seas (open ocean)
TLS,Timor-Leste,1291358,4975.0,Asia
ZAF,South Africa,54841552,739100.0,Africa
LSO,Lesotho,1958042,6019.0,Africa
MEX,Mexico,124574795,2307000.0,North America
URY,Uruguay,3360148,73250.0,South America
BRA,Brazil,207353391,3081000.0,South America
BOL,Bolivia,11138234,78350.0,South America
PER,Peru,31036656,410400.0,South America
COL,Colombia,47698524,688000.0,South America
PAN,Panama,3753142,93120.0,North America
CRI,Costa Rica,4930258,79260.0,North America
NIC,Nicaragua,6025951,33550.0,North America
HND,Honduras,9038741,43190.0,North America
SLV,El Salvador,6172011,54790.0,North America
GTM,Guatemala,15460732,131800.0,North America
BLZ,Belize,360346,3088.0,North America
VEN,Venezuela,31304016,468600.0,South America
GUY,Guyana,737718,6093.0,South America
SUR,Suriname,591919,8547.0,South America
-99,France,67106161,2699000.0,Europe
ECU,Ecuador,16290913,182400.0,South America
PRI,Puerto Rico,3351827,131000.0,North America
JAM,Jamaica,2990561,25390.0,North America
CUB,Cuba,11147407,132900.0,North America
ZWE,Zimbabwe,13805084,28330.0,Africa
BWA,Botswana,2214858,35900.0,Africa
NAM,Namibia,2484780,25990.0,Africa
SEN,Senegal,14668522,39720.0,Africa
MLI,Mali,17885245,38090.0,Africa
MRT,Mauritania,3758571,16710.0,Africa
BEN,Benin,11038805,24310.0,Africa
NER,Niger,19245344,20150.0,Africa
NGA,Nigeria,190632261,1089000.0,Africa
CMR,Cameroon,24994885,77240.0,Africa
TGO,Togo,7965055,11610.0,Africa
GHA,Ghana,27499924,120800.0,Africa
CIV,Côte d'Ivoire,24184810,87120.0,Africa
GIN,Guinea,12413867,16080.0,Africa
GNB,Guinea-Bissau,1792338,2851.0,Africa
