name,bike_stands,available_bikes,lat,lon,arrondissement
14002 - RASPAIL QUINET,44,4,48.8391991672,2.32955509721,14.0
20503 - COURS DE VINCENNES PYRÉNÉES,21,3,48.84772496899999,2.40590731702,20.0
20011 - PYRÉNÉES-DAGORNO,21,0,48.85550135399999,2.405168520639999,20.0
31008 - VINCENNES (MONTREUIL),56,0,48.857702134000014,2.437368661289999,
43006 - MINIMES (VINCENNES),28,27,48.8414868563,2.43079345113,
21113 - PETIT (CLICHY),25,2,48.89934835379998,2.29662648341,
35006 - DELIZY (PANTIN),22,1,48.89633193170001,2.40908765273,
01007 - ETIENNE MARCEL,16,14,48.86356704709999,2.34770202114,1.0
21707 - PASTEUR (VANVES),24,0,48.82509932920001,2.29250033146,
20019 - MAQUIS DU VERCORS - PORTE DES LILAS,30,1,48.877336,2.408573,20.0
02020 - OPERA CASANOVA,20,5,48.86762307809999,2.3332685931,2.0
16022 - RUE JEAN BOLOGNE,17,0,48.8575668898,2.280027395309999,16.0
13010 - PLACE D ITALIE AURIOL,40,1,48.831582643800004,2.35670842076,13.0
13046 - OUDINE PATAY,44,10,48.8257129035,2.37504430009,13.0
19115 - PORTE DE LA VILLETTE,27,7,48.898490053099984,2.38612000821,19.0
19027 - SERRURIER,18,0,48.88060605359999,2.39789629061,19.0
33102 - JAURES 1 (PRE SAINT GERVAIS),18,3,48.88652698329998,2.407468689389999,
12128 - ROUTE DE LA PYRAMIDE- ECOLE DU BREUIL,33,32,48.82256,2.45877,12.0
14009 - COTY TOMBE D'ISSOIRE,36,1,48.8305559994,2.33378329803,14.0
16017 - RUE DE SIAM,16,0,48.86172032899998,2.27534656856,16.0
17110 - LEGENDRE,29,3,48.8877723254,2.32036786584,17.0
10114 - HOPITAL SAINT LOUIS,59,2,48.874794994799984,2.366669436980001,10.0
16018 - FLANDRIN,17,1,48.86441140949999,2.272448647650001,16.0
15051 - ROLLET,8,3,48.83598100449997,2.29346711913,15.0
09026 - BRUYERE PIGALLE,17,0,48.879398264499976,2.333709173339999,9.0
22006 - PIERRET (NEUILLY),25,2,48.88302665919999,2.26009698393,
16002 - PERGOLESE,38,0,48.87518496110002,2.28421943206,16.0
17041 - PORTE DE VILLIERS,39,0,48.88287775179999,2.28766737081,17.0
08102 - LAMENAIS WASHINGTON,26,1,48.87355533449997,2.30328866613,8.0
10113 - PARMENTIER LOUVEL-TESSIER,43,2,48.8713798743,2.36989638367,10.0
13048 - TOLBIAC WURTZ,28,3,48.8264943283,2.344301715869999,13.0
06003 - SAINT SULPICE,21,21,48.85164784809998,2.330817074390001,6.0
31702 - CURIE (BAGNOLET),50,0,48.87065801289999,2.424046437539999,
22002 - ARGENSON (NEUILLY),25,2,48.88864877360001,2.26390460269,
17101 - ALEXANDRE CHARPENTIER,23,1,48.88434112469998,2.28827375264,17.0
12110 - BARON LE ROY TRUFFAUT,55,55,48.833708635099995,2.38855666622,12.0
15048 - OLIVIER DE SERRE,22,0,48.8305456694,2.2920463967,15.0
08056 - WAGRAM,11,1,48.87537764749999,2.29655534248,8.0
22010 - DE GAULLE 4 (NEUILLY),27,13,48.881674445999984,2.271177498920001,
16013 - AVENUE HENRI MARTIN,34,0,48.864076711699994,2.27688168701,16.0
43010 - JARRY (VINCENNES),25,6,48.84974495699999,2.45196030631,
14025 - JACQUIER,36,1,48.82957040469999,2.31835302141,14.0
09031 - PROVENCE,25,0,48.87428447540001,2.332976511560001,9.0
19103 - MANIN CARRIERES,20,1,48.88477085799998,2.392093119900001,19.0
15044 - J DUPRE,33,4,48.83026939029999,2.29600807609,15.0
15068 - BOULEVARD VICTOR,20,0,48.83817131019999,2.27033837975,15.0
08018 - SAINT AUGUSTIN,32,0,48.8762011622,2.31979392397,8.0
42016 - CURIE (IVRY),26,10,48.81584739280001,2.37694379547,
31701 - BERTON (BAGNOLET),28,2,48.868453299,2.41781693474,
22402 - JAURES (MALAKOFF),50,2,48.821460079800005,2.30289945997,
21105 - MORICE (CLICHY),24,4,48.90261519379999,2.3133206365,
08009 - SAINT LAZARE RER,28,13,48.874808025000014,2.32648148622,8.0
19120 - ALOUETTES,27,0,48.877516256899995,2.38609972037,19.0
42505 - FREROT (GENTILLY),30,25,48.815768792,2.35047619893,
20038 - LEON FRAPIE,19,0,48.873549035099984,2.411003035879999,20.0
13044 - PLACE JEANNE D'ARC,36,6,48.82957572679998,2.369126815720001,13.0
12122 - POLYGONE,50,37,48.835444916200004,2.43142108144,12.0
05012 - ULM - LHOMOND,15,0,48.84514349399998,2.34541268121,5.0
09006 - TRUDAINE ROCHECHOUART,16,0,48.8821076344,2.34626199854,9.0
22004 - CHARLES DE GAULLE (NEUILLY),28,13,48.88470729339997,2.26153081999,
32601 - PARIS (LES LILAS),43,0,48.87859034879998,2.41189997789,
